Company Name,Ticker,Market,Multiple Engagements,Governance,Proxy Contest/M&A,Pay,ES,Letter,Comprehensive Engagement,Year,Quarter,Dissident
Tabcorp Holdings Ltd.,,Australia,0,1,0,1,0,,,2017,,
Vicinity Centres,,Australia,0,1,0,1,0,,,2017,,
Westfield Corp,,Australia,0,1,0,1,1,,,2017,,
Woodside Petroleum Ltd.,,Australia,0,0,0,1,1,,,2017,,
Woolworths Ltd.,,Australia,0,1,0,0,0,,,2017,,
AGL Energy Ltd.,,Australia,0,1,,,1,0,1,2018,,
Amcor Limited,,Australia,0,1,,,1,0,1,2018,,
AMP Limited,,Australia,0,1,,,0,0,1,2018,,
APA Group,,Australia,0,0,,,1,0,1,2018,,
AusNet Services,,Australia,0,1,,,0,0,1,2018,,
"Australia and New Zealand Banking GroupLtd.",,Australia,0,1,,,0,0,1,2018,,
Bluescope Steel Ltd.,,Australia,0,0,,,1,0,1,2018,,
Brambles Ltd,,Australia,0,1,,,1,0,1,2018,,
Commonwealth Bank of Australia,,Australia,1,1,,,1,0,1,2018,,
Crown Resorts Ltd.,,Australia,0,1,,,0,0,1,2018,,
Domino's Pizza Enterprises Ltd.,,Australia,0,1,,,0,0,1,2018,,
Goodman Group,,Australia,1,1,,,1,0,1,2018,,
Macquarie Group Limited,,Australia,0,0,,,1,0,1,2018,,
Magellan Financial Group,,Australia,0,1,,,0,0,1,2018,,
National Australia Bank Limited,,Australia,1,1,,,0,0,1,2018,,
Orica Ltd.,,Australia,0,1,,,1,0,1,2018,,
Origin Energy Ltd.,,Australia,0,0,,,1,0,1,2018,,ACCR
Origin Energy Ltd.,,Australia,0,0,,,1,0,1,2018,,
Qantas Airways Limited,,Australia,0,0,,,1,0,1,2018,,
QBE Insurance Group Ltd.,,Australia,0,0,,,1,0,1,2018,,
Ramsay Health Care Ltd,,Australia,0,1,,,0,0,1,2018,,
Santos Ltd.,,Australia,0,0,,,1,0,1,2018,,
Santos Ltd.,,Australia,0,0,,,1,0,1,2018,,Market Forces
Seek Ltd.,,Australia,0,1,,,0,0,1,2018,,
Sonic Healthcare Limited,,Australia,0,1,,,0,0,1,2018,,
South32 Limited,,Australia,0,1,,,1,0,1,2018,,
Spark Infrastructure Group,,Australia,1,1,,,1,0,1,2018,,
Tabcorp Holdings Ltd.,,Australia,0,1,,,0,0,1,2018,,
Telstra Corporation Limited,,Australia,0,1,,,0,0,1,2018,,
