gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
186921,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,ATLANTIC COAST LINE RR CO,AX.
186947,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,ROCKWELL STANDARD CORP,RKS.
186951,3,31/03/1964,31/08/1967,S&P 500 Comp-Ltd,I0003,SOUTH PUERTO RICO SUGAR,PSU
3708,3,31/03/1964,30/11/1967,S&P 500 Comp-Ltd,I0003,WENDY'S CO,WEN
11601,3,31/03/1964,30/11/1967,S&P 500 Comp-Ltd,I0003,WORTHINGTON CORP,WTH.
186942,3,31/03/1964,30/11/1967,S&P 500 Comp-Ltd,I0003,TIDEWATER OIL CO,TV.3
3411,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,CONSOLIDATED CIGAR CORP,CDR.1
3987,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,DIVCO WAYNE CORP,DCO.
7701,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,NATIONAL ACME CO,NCM.1
186917,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,ISLAND CREEK COAL CO,ICR.
186918,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,AMERN POTASH & CHEMICAL CO,APO.1
186924,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,NEW YORK CENTRAL RAILROAD,CN.3
186928,3,31/03/1964,29/02/1968,S&P 500 Comp-Ltd,I0003,EW BLISS CO INC,EWB.
2478,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,BULLARD CO,BLD.1
3660,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,CURTIS PUBLISHING CO,CUR.2
8406,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,PEABODY COAL CO,PDY.1
11433,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,WESTINGHOUSE AIRBRAKE CO,WK.1
186923,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,BLAW-KNOX CO,BK.1
187086,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,CALUMET & HECLA INC,CAH.1
187095,3,31/03/1964,31/05/1968,S&P 500 Comp-Ltd,I0003,GINN & CO,GNN.
1560,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,AMERICAN SHIP BUILDING CO,3ASBG
2670,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,CANADA DRY,CD.2
3386,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,CONGOLEUM CORP,COG.2
3454,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,CONTINENTAL BAKING CO,CI.3
3630,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,CRUCIBLE INC,COT1
5054,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,GENERAL FINANCE CO,GFN.2
7141,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,MCCALL CORP,MLL.1
9456,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,SCHENLEY INDUSTRIES INC,SH.1
11314,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,WAUKESHA MOTORS,WKU
14591,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,COMMERCIAL CREDIT CO,5428A
64096,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,NEWPORT NEWS SHIPBUILDING,NNS
186911,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,DELAWARE AND HUDSON RAILWAY,DH.1
186935,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,CONGOLEUM-NAIRN INC,COG.4
186945,3,31/03/1964,31/08/1968,S&P 500 Comp-Ltd,I0003,VAN RAALTE CO,VRT.1
