gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,act,at,ebit,ebitda,epspi,epspx,lt,ni,niadj,nits,opiti,pstk,pstkl,pstkrv,spce,spceeps,txditc,upstk,exchg,costat,ein,fyrc,idbflag,incorp,loc,sic,spcindcd,spcseccd
1177,31/12/2017,2017,FS,C,D,STD,AET,00817Y108,AETNA INC,USD,12,15523,55151,,,,,39314,,,2908,,0,,,,,,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2017,2017,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,12,15523,55151,5038,5428,5.71,5.71,39314,1904,1904,,,0,0,0,,,0,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1177,31/12/2017,2018,INDL,C,D,STD,AET,00817Y108,AETNA INC,USD,12,15523,55151,5038,5428,5.71,5.71,39314,1904,1904,,,0,0,0,,,0,,11,I,23-2229683,12,B,PA,USA,6324,287,905
1209,30/09/2013,2013,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,9,3439.1,17850.1,1508.3,2415.3,4.74,4.79,10275.4,994.2,994.2,,,0,0,0,,,827.2,,11,A,23-1274455,9,D,DE,USA,2810,160,970
1209,30/09/2014,2014,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,9,3294.8,17779.1,1603.7,2560.6,4.66,4.64,9970.5,991.7,991.7,,,0,0,0,,,995.5,,11,A,23-1274455,9,D,DE,USA,2810,160,970
1209,30/09/2015,2015,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,9,2910.8,17438.1,1870.3,2806.7,5.95,5.95,10057,1277.9,1277.9,,,0,0,0,,,903.3,,11,A,23-1274455,9,D,DE,USA,2810,160,970
1209,30/09/2016,2016,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,9,4317.3,18055.3,2140.4,3066.3,2.92,7,10841.9,631.1,631.1,,,0,0,0,,,767.1,,11,A,23-1274455,9,D,DE,USA,2810,160,970
1209,30/09/2017,2017,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,9,5876.7,18467.2,1660.8,2526.6,13.76,5.2,8281.7,3000.4,3000.4,,,0,0,0,,,778.4,,11,A,23-1274455,9,D,DE,USA,2810,160,970
1209,30/09/2018,2018,INDL,C,D,STD,APD,9158106,AIR PRODUCTS & CHEMICALS INC,USD,9,5082.2,19178.3,1891.3,2862,6.83,6.64,8002,1497.8,1497.8,,,0,0,0,,,775.1,,11,A,23-1274455,9,D,DE,USA,2810,160,970
1230,31/12/2013,2013,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12,1762,5838,646,916,7.26,7.26,3809,508,508,,,0,0,0,,,709,,11,A,91-1292054,12,D,DE,USA,4512,605,600
1230,31/12/2014,2014,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12,1756,6181,932,1226,4.47,4.47,4054,605,605,,,0,0,0,,,750,,11,A,91-1292054,12,D,DE,USA,4512,605,600
1230,31/12/2015,2015,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12,1663,6533,1330,1650,6.61,6.61,4122,848,848,,,0,0,0,,,682,,11,A,91-1292054,12,D,DE,USA,4512,605,600
1230,31/12/2016,2016,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12,2050,9962,1466,1829,6.59,6.59,7031,814,814,,,0,0,0,,,463,,11,A,91-1292054,12,D,DE,USA,4512,605,600
1230,31/12/2017,2017,INDL,C,D,STD,ALK,11659109,ALASKA AIR GROUP INC,USD,12,2146,10740,1378,1750,8.39,8.39,7019,1034,1034,,,0,0,0,,,454,,11,A,91-1292054,12,D,DE,USA,4512,605,600
